Date,Content,Label
2003-10-11,gold futures close near $387 an ounce,2
2003-10-11,metals shares end lower despite gold futures strength,2
2003-10-13,"gold reverses course, closes higher; copper rallies",0
2003-10-14,barrick gold acquires stake in highland gold,1
2003-10-16,"gold market climbs after economic, financial data",0
2003-10-23,gold falls for first time in four days,2
2003-10-23,gold futures close down nearly $2 an ounce,2
2003-10-27,metals mining shares defy gold price weakness,2
2003-10-27,"after a surge, gold futures retreat",0
2003-10-28,"fed decision has little effect on oil, gold sectors",1
2003-10-31,cboe gold index down 2.5% for week,2
2003-10-31,"gold futures end higher, shares climb",0
2003-11-02,gold ends lower after volatile session,2
2003-11-02,"hecla mining '02 gold, silver production at record",1
2003-11-06,"august gold closes at $356.20 an ounce, up $3.40",0
2003-11-06,gold futures close up by 1%; metals shares higher,0
2003-11-08,gold contract tops $363 an ounce,0
2003-11-17,gold futures close near one-week low,2
2003-11-19,gold slips after overnight breach of $400,2
2003-11-24,"gold closes lower, other metals slide",2
2003-11-28,philadelphia gold & silver index climbs 1.6%,0
2003-12-02,"april gold falls $10 to $353/oz, lowest close in 4 wks",2
2003-12-05,gold futures back above $350,0
2003-12-06,gold futures ease back on fresh dollar strength,2
2003-12-08,philadelphia gold & silver index down 1.51 at 86.20,2
2003-12-11,"dec gold touches $397, highest since may 1996",0
2003-12-11,philadelphia gold & silver index gains 4.1%,0
2003-12-15,gold futures off $1.80 to $407.60,2
2003-12-16,gold futures close lower; copper ends above $1,2
2003-12-19,"metals shares, gold futures weaken",2
2003-12-19,gold futures end week with minor loss,2
2003-12-19,"metals shares, gold futures weaken",2
2003-12-19,philadelphia gold & silver index falls 2.6%,2
2003-12-23,"gold futures falls, but copper rises",2
2003-12-23,gold futures end higher; copper up 1.1%,0
2003-12-26,philadelphia gold & silver index climbs 1.8%,0
2003-12-26,philadelphia gold & silver index rises 1.6%,0
2003-12-29,the gold rush is on in shanghai,0
2003-12-30,"gold futures at fresh, 15-year high",0
2003-12-30,spot gold quoted at $415.75 in early asia trade,1
2003-12-31,gold futures end 2003 up nearly 20%,0
2004-01-03,gold: won't name potential eisner successors - cnbc,1
2004-01-03,cboe gold index rises 1.7%,0
2004-01-03,gold: won't predict outcome of eisner vote - cnbc,1
2004-01-04,"gold futures tap 15-year high, then pull back",0
2004-01-06,"gold futures, metals shares pull back",2
2004-01-07,"spot gold quoted at $395.80, unchanged from new york",2
2004-01-09,"gold prices fall as traders eye dollar, data",2
2004-01-09,"spot gold quoted at $408.30, down $1.20 from new york",2
2004-01-10,dec gold falls 40c to $420/oz in ny,2
2004-01-11,"gold futures drop, take cue from reversal in crude",2
2004-01-12,"gold near $456, highest since june `88",0
2004-01-13,"spot gold bid at $423.50 an ounce, down $2.60 - kitco",2
2004-01-14,nymex gold ends with a $2 loss,2
2004-01-14,gold prices fall as much as $6,2
2004-01-15,"spot gold bid at $413.30 an ounce, down $8.10 - kitco",2
2004-01-15,mining indexes slump on gold slide,2
2004-01-20,gold futures close higher for first time in six session,0
2004-01-21,gold pulls back; palladium gains,2
2004-01-23,kinross gold upped to 'gold' at ubs,0
2004-01-26,gold veterans brace for rough ride,2
2004-01-26,gold futures close at six-week low,2
2004-01-27,gold futures close back above $410,0
2004-01-28,gold futures rise as japan mulls buy,0
2004-01-29,"gold futures fall under $400, first time since dec. 2",2
2004-02-03,metals futures close lower; gold falls nearly $6,2
2004-02-03,philadelphia gold & silver index falls 2.2%,2
2004-02-04,gold futures ends lower on dollar rally,2
2004-02-04,philadelphia gold and silver index up 1.7% for the week,0
2004-02-07,gold rises as jobs data hits dollar,0
2004-02-08,gold prices edge up on terror scare,0
2004-02-09,"spot gold quoted at $405.20, down 30c from new york",2
2004-02-09,"gold, nortel weigh on bay street",1
2004-02-09,gold futures lower in last hour of trade,2
2004-02-11,"dec gold closes at $420.80/oz, down $7.40",2
2004-02-11,spot gold trading at $420.50 in asia,0
2004-02-12,feb gold up $1.10 at $457/oz in morning ny trade,0
2004-02-12,barrick gold to invest $28m in celtic resources,1
2004-02-13,gold prices trade at one-month high,0
2004-02-13,gold futures drop back under $410,2
2004-02-13,"gold down on session, but up on week",0
2004-02-17,glamis gold q4 revenue at $22.5 mln vs yr-ago $22.4 mln,1
2004-02-17,philadelphia gold & silver index rises 2.4%,0
2004-02-18,philadelphia gold & silver index falls 2.7%,2
2004-02-18,"spot gold bid at $415.80 an ounce, up 10c - kitco",0
2004-02-19,gold kist announces $200 mln note offiering,1
2004-02-20,gold falls to six-session low,2
2004-02-23,gold futures edge up after steep drop,0
2004-02-24,gold shares buoy bay street,1
2004-02-26,gold ends off lows as price fall sparks buying,2
2004-03-02,"gold climbs back above $400, eyes currency moves",0
2004-03-08,"spot gold bid at $390.70 an ounce, down 90c",2
2004-03-10,spot gold quoted at $418.10 in asia trade,0
2004-03-11,dec. gold futures up $4.50 at $425.30,0
2004-03-12,gold futures close at a fresh mid-1988 high,0
2004-03-12,"feb gold up $1.50 at $453.80/oz, reversing fr $450 low",0
2004-03-12,gold futures rally to a fresh mid-1988 high near $458,0
2004-03-12,feb gold falls 10c to $452.20/oz in morning ny trade,2
2004-03-12,amex gold bugs index down 6.6% for the week,2
2004-03-12,gold ends at 16-year high near $458,0
2004-03-17,"spot gold bid at $402.10 an ounce, up 20c - kitco",0
2004-03-17,gold futures climb for a third session,0
2004-03-18,gold futures log four-session climb,0
2004-03-18,"spot gold bid at $407.10 an ounce, up 60c - kitco",0
2004-03-22,"spot gold bid at $414.20 an ounce, up $2.10 - kitco",0
2004-03-23,gold prices end higher for seventh session,0
2004-03-24,placer dome sees 892k oz. of gold product in '04,1
2004-03-24,"gold futures close lower, end winning streak",2
2004-03-30,"gold hits 11-week high, ends higher",0
2004-04-08,"spot gold quoted at $392, up 20 cents from new york",0
2004-04-10,"spot gold quoted at $412.90, down 60c from new york",2
2004-04-20,gold prices fall back under $400; freeport shares down,2
2004-04-21,gold futures at seven-week low,2
2004-04-23,"gold prices rise, but end lower for the week",0
2004-04-23,"gold prices rise, but end lower for the week",2
2004-04-27,"correct: gold, silver futures close at one-week highs",0
2004-05-02,gold futures dull; mining shares edge up,2
2004-05-05,"metals shares fall, but gold futures edge up",0
2004-05-08,gold futures fall; mining shares mixed,2
2004-05-08,"spot gold quoted at $391.80, down 10c from new york",2
2004-05-08,"bad for stocks, good for gold?",1
2004-05-10,"spot gold quoted at $418.50, up 70c from new york",0
2004-05-10,dec gold up $3.60 at $419.20/oz in ny,0
2004-05-11,"philly gold and silver index up 2% on day, up 3% on wk",0
2004-05-11,dec gold taps fresh 7-mo high of $435/oz,0
2004-05-14,"gold futures, stocks rise as data prompts dollar slide",0
2004-05-17,gold futures close at seven-session high,0
2004-05-19,gold futures climb as much as $8 an ounce,0
2004-05-20,"spot gold bid at $380.30 an ounce, down $2.20",2
2004-05-21,gold futures close up nearly $8 for the week,0
2004-05-27,merrill sees gold trade in $370-390 range in near term,1
2004-05-28,"gold, chips and networking higher",0
2004-06-02,dollar weakness lifts gold to one-week high of $410,0
2004-06-04,gold higher after two losing sessions,0
2004-06-07,"dollar aided by gold's fall, service data",2
2004-06-08,gold futures climb above $400 to two-week high,0
2004-06-10,"spot gold quoted at $417.50, down 20c from new york",2
2004-06-10,"spot gold quoted at $417.30, down 40c from new york",2
2004-06-12,feb gold down $3.30 to $454.50/oz after $456.50 high,2
2004-06-12,"feb gold closes at $455.90/oz, down $1.90 for the day",2
2004-06-12,gold prices dull on dollar strength,2
2004-06-15,"spot gold quoted at $382.70, down 0.1% from ny",2
2004-06-18,"spot gold bid at $389 an ounce, up 30c",0
2004-06-22,"metals shares end higher, following strength in gold",0
2004-06-22,"metals shares end higher, following strength in gold",0
2004-06-23,"spot gold quoted at $394.80, up 0.05% from ny",0
2004-06-24,"spot gold quoted at $401.40, down 0.3% from ny",2
2004-06-24,gold atop $400 for 1st time since april,0
2004-06-24,"gold futures top $400, first time in two months",0
2004-06-28,metals shares end lower on the heels of gold's decline,2
2004-07-04,gold prices end at four-session high,0
2004-07-04,gold prices narrowly higher; metals shares rise,0
2004-07-05,"gold ends down on session, week",2
2004-07-06,"spot gold bid at $392.10 an ounce, up $1.50",0
2004-07-09,gold and energy weigh on bay street,0
2004-07-09,"dec gold closes at $399.40/oz, down $3.10 for the day",2
2004-07-09,gold futures still weak in afternoon dealings,2
2004-07-10,gold futures close with a 50-cent loss,2
2004-07-10,gold futures hold above $420 ahead of jobs data,1
2004-07-12,gold fields ceo says disappointed by vote,1
2004-07-12,"amex gold bugs index ends at 2-mo low of 218.6, down 3%",2
2004-07-13,gold falls near one-week low,2
2004-07-13,gold futures down almost $7 in afternoon trade,2
2004-07-14,"gold climbs, closes back above $405",0
2004-07-15,"gold prices narrowly lower, still trading above $405",2
2004-07-15,"spot gold quoted at $403.60, unchanged from new york",1
2004-07-19,"spot gold quoted at $405.90, up 60 cents from new york",0
2004-07-20,"spot gold quoted at $400.80, down 60c from new york",2
2004-07-20,gold futures weak in evening trading,2
2004-07-22,"spot gold quoted at $394.20, down 20c from new york",2
2004-07-22,"spot gold bid at $395.50 an ounce, down $1.00",2
2004-07-22,gold edges up as traders eye dollar,0
2004-07-22,gold ends lower for a fourth session,2
2004-07-27,gold futures end at lowest level in six weeks,2
2004-07-27,"barrick gold q2 earns decline, but match expectations",2
2004-07-27,berma gold gets $60m bridge loan for kupol development,1
2004-07-27,gold futures turn lower as dollar gains ground,2
2004-07-28,"spot gold quoted at $389.10, up 60 cents from new york",0
2004-07-28,gold slips in early dealings,2
2004-07-28,oil and gold lift bay street,0
2004-07-30,gold futures climb on weak gdp,0
2004-07-30,aug gold up $3.70 at $390.70/oz in new york,0
2004-07-30,"gold ends up for the week, but down for the month",0
2004-08-01,"gold, copper prices head higher",0
2004-08-04,gold prices down for session and holiday-shortened week,2
2004-08-07,"spot gold quoted at $406.10, down $1.80 from new york",2
2004-08-09,gold futures finish higher; stocks fall,0
2004-08-09,"spot gold bid at $397.40 an ounce, up 50c",0
2004-08-09,gold futures get late boost,0
2004-08-10,gold closes at 6-month high,0
2004-08-11,"spot gold quoted at $431.50, down $1 from new york",2
2004-08-12,harmony calls for gold fields chairman resignation -rpt,1
2004-08-12,"feb gold down $17.50, or 3.9%, at $436.20/oz",2
2004-08-12,feb gold closes at lowest level since nov 11,2
2004-08-12,feb gold drops $15.50 to $438.20/oz in morning trade,2
2004-08-12,feb gold closes at lowest level since nov 11,2
2004-08-13,"gold futures end up for the day, down for the week",0
2004-08-17,"spot gold bid at $401.80 an ounce, off 70c",2
2004-08-19,spot gold quoted at $404.10 in asia trade,0
2004-08-19,dec gold up $2.30 at $408.90 in afternoon ny trade,0
2004-08-19,gold futures touch five-week high above $410,0
2004-08-19,gold futures climb to five-week high,0
2004-08-23,dec gold falls $2.50 to $413/oz in afternoon dealings,2
2004-08-23,"dec gold ends at $412.80, down $2.70 for the ny session",2
2004-08-23,"gold slips, pressured by dollar gains",2
2004-08-24,dec gold down 1.4% at $407.10,2
2004-08-24,"spot gold bid at $407.30 an ounce, down $3.20",2
2004-08-25,dec gold up $4.70 at $409.70/oz in afternoon dealings,0
2004-08-25,gold futures gain more ground in afternoon trade,0
2004-08-25,"dec gold closes at $410/oz, up $5 for the session",0
2004-08-25,gold futures recoup a bit after losses,2
2004-08-27,dec gold down $2.80 at $406.80/oz in ny,2
2004-08-30,"spot gold bid at $404.90 an ounce, up $2.00",0
2004-08-31,dec gold up $1 at $411 with 40 min left in the session,0
2004-08-31,"spot gold quoted at $409.40, down 10c from new york",2
2004-08-31,"spot gold bid at $408.40 an ounce, up 80c",0
2004-09-01,gold futures close near $427 an ounce,1
2004-09-03,"spot gold bid at $400.50 an ounce, up 10c - kitco",0
2004-09-03,gold futures edge up,0
2004-09-06,"spot gold quoted at $383.60, down 0.18% from ny",2
2004-09-08,gold prices post narrow gain in afternoon dealings,0
2004-09-08,"spot gold quoted at $399, down $1.30 from new york",2
2004-09-09,"spot gold quoted at $399.70, up $1.80 from new york",0
2004-09-11,"dec gold closes at $436.20/oz, up $2.80 for the day",0
2004-09-15,"gold futures close under $407, pressured by dollar rise",1
2004-09-21,"gold, energy boost bay street",0
2004-09-23,"dec gold closes at 1-mo high of $412.60, up $3.60",0
2004-09-29,spot gold quoted at $411.60 an oz in asia trade,0
2004-09-30,gold futures rise to five-month high,0
2004-10-05,"spot gold bid at $372.30 an ounce, down $6.10",2
2004-10-08,gold futures close lower ahead of fed decision,2
2004-10-08,gold futures fall in evening trade,2
2004-10-09,gold futures end higher for the day and the week,0
2004-10-11,gold futures continue lower in afternoon trade,2
2004-10-12,"amex gold bugs index falls 0.6% on day, down 6% on wk",2
2004-10-12,"feb gold down $22.50, or 5%, for the week",2
2004-10-15,gold prices up as economic data fail to lift dollar,0
2004-10-18,kinross gold upped to neutral at jp morgan,1
2004-10-18,harmony to 'shortly post' gold fields offer terms,1
2004-10-18,iamgold leads mining shares lower; gold dulls,2
2004-10-20,"dec gold up $3.20, closes at a 6-mo high of $424.80",0
2004-10-20,harmony gold retains merrill as co-advisor for gfi bid,1
2004-10-20,gold ends at six-month high near $425,0
2004-10-20,99 cents only's jeff gold is named president,1
2004-10-20,"gold, energy lead bay street rally",0
2004-10-20,dec gold up $3.50 at $425.10 after 6-mo high of $426.90,0
2004-10-21,gold futures pull back in morning trade,2
2004-10-25,"dec gold continues higher, up $4.10 at $429.70/oz in ny",0
2004-10-25,"cboe gold index taps high of 96.14, highest since 1997",0
2004-10-25,gold nears $430 as dollar falls,2
2004-10-25,"spot gold quoted at $428.50, up 30 cents from new york",0
2004-10-26,barrick gold down 0.7% at $22.39,2
2004-10-26,barrick gold q3 net falls,2
2004-10-26,"spot gold quoted at $425.90, down 10c from new york",2
2004-10-27,gold closes lower for a second day,2
2004-10-28,"spot gold quoted at $425, up 30 cents from new york",0
2004-10-28,gold prices edge up; mining shares mixed,0
2004-10-29,philadelphia gold and silver index up 1.4% on the month,0
2004-10-29,dec gold up 70c at $426.80/oz in morning ny trade,0
2004-11-02,gold prices end near $411 an ounce,1
2004-11-02,philadelphia gold & silver index gains 2.4%,0
2004-11-03,"gold up as copper, silver post gains",0
2004-11-05,gold futures fall for fourth session,2
2004-11-08,"gold fields, iamgold agree to $2.1 billion combination",1
2004-11-08,gold falls as much as $6 in morning trade,2
2004-11-10,dec gold down $1 at $423.50/oz in afternoon ny trade,2
2004-11-11,gold prices end modestly higher for the session,0
2004-11-11,"dec gold closes at $435.40/oz in ny, up 90c for the day",0
2004-11-15,gold futures lose ground in late morning trade,2
2004-11-17,gold futures top $445 an ounce in ny,0
2004-11-18,"spot gold quoted at $442, down 10 cents from new york",2
2004-11-18,"spot gold quoted at $442.10, unchanged from new york",1
2004-11-19,gold futures climb above $446,0
2004-11-22,internet gold to buy remaining shrs of goldtrade,1
2004-11-22,gold prices edge closer to $450,0
2004-11-23,gold futures continue lower in late morning trade,2
2004-11-23,gold futures close modestly lower,2
2004-11-23,"dec gold closes at $447.90/oz, down $1.10 for the day",2
2004-11-24,"dec gold closes at $449.30/oz, up $1.40 for the day",0
2004-11-24,dec gold climbs $1 to $448.90/oz in morning ny trade,0
2004-11-29,metals indexes stand pat even as gold futures climb,0
2004-11-29,gold futures close above $453,1
2004-11-29,gold tops $453 to start busy week,0
2004-11-29,south africa dismisses gold fields appeal,1
2004-11-29,south africa upholds harmony gold as concert party,1
2004-11-30,barrick gold cut to neutral at ubs on share price,1
