date,text,label
2014-12-09,expect downward move in gold: astromoneyguru,2
2018-11-04,rjo futures : gold versus silver: q2 to benefit the white metals,1
2017-10-31,gold prices end the month with a loss of about 1.1%,2
2016-02-23,"april gold settles at $1,222.60/oz on comex, up $12.50, or 1%",0
2010-04-16,"june gold down $11.7, or 1%, after sentiment data",2
2017-11-22,hong kong : world's top jeweler reveals growing appetite for gold in china,1
2017-09-18,"low inflation phase not for realty, gold; hence investors rushing to equity: ashwini agarwal, ashmore investment",2
2018-04-18,gold slips as dollar steadies on positive us data,2
2015-09-17,gold prices jump in early asia as fed hold steady citing global weakness,0
2011-02-09,"intraday strategy for gold, nickel, lead: angel broking",1
2016-12-15,gold futures settle at lowest level since early february,2
2014-11-26,"gold ends lower, still flirting with $1,200 level",2
2009-06-11,"gold may be flying, but this gold stock's a turkey",1
2011-07-11,"gold, silver start week on firm note, rise on global cues",0
2016-05-09,"gold, silver gain on more bets the fed will take it slow on raising rates",0
2018-10-31,"gold industry sees prices rising to $1,532/oz over 12 months",0
2009-02-06,gold rises as dollar weakens anew; silver ends near $16,0
2018-08-03,gold prices edge higher with all eyes on u.s. tariffs,0
2008-08-20,december gold up $5.90 to $822.70 an ounce on globex,0
2016-12-04,gold at 3-week high as dollar struggles amid us rate outlook,0
2018-04-27,"june gold up 0.2% at $1,319.90/oz.",0
2012-11-16,sell mcx gold dec around rs 31500; target rs 31170: geojit,1
2011-11-22,mcx gold february contract moves up,0
2018-05-29,"august gold trades at $1,300.10/oz, down $8.90, or 0.7%",2
2018-12-11,gold futures up 0.36% on positive global cues,0
2017-04-25,"gold futures dip to rs 29,012 on weak global cues",2
2011-11-10,mcx goldpetal nov contract up marginally,0
2017-05-12,gold holds steady amid softer dollar,1
2011-04-17,assets under gold etfs up nearly three fold,0
2016-09-12,gold marks new session lows as u.s. dollar index trades near day's highs,2
2017-12-14,gold rises to 1-week high as dollar holds steady,0
2012-03-09,gold adds to gains after weak china data,0
2018-02-11,gold prices fall for the session to post a modest loss for the week,2
2016-10-17,"commodity watch: gold, silver rise; sugar slides in futures trade",0
2014-01-23,"look to buy gold on dips to $1,240",2
2013-06-24,"goldman's prior end-2013 gold call was $1,435/oz",1
2017-10-01,"gold futures pare gains, but still finish at a 6-week high",0
2010-04-26,gold survives goldman sachs,1
2009-02-03,gold futures up $12.20 at $954.70 an ounce,0
2018-11-05,reserve bank of india adds 2.5 tonnes of gold to forex reserves in q4,1
2017-04-10,"gold futures rise to rs 29,416",0
2005-06-29,"cboe gold index closes at 84.2, up 4%",0
2017-08-21,"dec. gold settles at $1,296.70/oz, up $5.10, or 0.4%",0
2006-08-23,moody's revises pilgrim's pride outlook on gold kist bid,1
2017-04-24,"june gold futures fall $11.60, or 0.9%, to settle at $1,277.50 an ounce",2
2011-04-29,gold prices soar but buyers bet on akshaya tritiya,0
2017-06-10,gold future extend losses after jobs report,2
2016-11-11,"dec. gold drops $33.40, or 2.6%, to $1,233/oz",2
2018-04-27,gold prices to trade lower today: angel commodities,2
2018-08-28,hedge funds kept betting against gold even as prices began rally,1
2008-10-27,"dec. gold reverses losses, gaining 0.6% to $734.70 an ounce",2
2016-02-24,gold futures mark their highest settlement since feb. 11,0
2017-08-16,current gold rate: check out current gold price,1
2018-04-18,2018 gold price 'could hit $1450',1
2017-11-01,"gold rallies to finish near $1,200 as trump fuels market uncertainty",0
2011-07-11,"gold tops $1,790 to end at over six-week high",0
2013-01-07,gold futures rebound on firm global cues,0
2018-01-22,gold prices on track to settle lower for the session,2
2018-02-05,fading aura: gold set for further correction,2
2014-10-20,gold prices rebound in asia ahead of china q3 gdp,0
,"gold, oil hold on to gains post bernanke",0
2015-06-10,mcx goldguinea november contract rises,0
2016-06-10,gold futures mark lowest settlement since early june,2
2011-09-11,"gold prices trading higher in chennai, ahmedabad market",0
2009-10-28,gold futures remain lower after durable goods,2
2006-06-14,gold kist started at hold at stifel nicolaus,1
2017-11-24,gold's 47-year bull market,1
2018-10-04,dubai loses glitter as vat tax crimps demand in city of gold,2
2008-05-29,sanguine about gold,0
2016-07-18,gold ends narrowly higher as 'many uncertainties' plague the market,0
2015-05-22,"june gold last at $1,203.90/oz on comex, down 20 cents",2
2017-04-05,"june gold down 1.5% at $1,230.40/oz.",2
2016-09-21,gold scores third straight win; edges up more after fed decision,0
2017-08-24,gold settles lower as investors look to jackson hole,2
2016-05-16,gold rises rs 67 in futures trade on global cues,0
2009-08-05,gold falls as jobs data clip economic worries,2
2011-10-22,festive demand lifts up gold & silver prices,0
2009-08-09,"gold futures up $8.50 at $1,005.20 an ounce",0
2016-06-13,"gold hits 4-week high as central bank meetings, brexit vote shake stocks",0
2010-10-22,"gold closes a tad lower at $1,325.10/oz",2
2012-05-21,lower oil prices and weaker gold demand positive for current account deficit,2
2013-10-06,"karvy advises to sell gold, silver",2
2012-12-09,"oil, gold push higher after german court ruling",0
2014-08-19,"gold falls on upbeat u.s. housing, inflation data",2
2018-09-27,inflation : long-term evidence: gold and inflation,1
2010-05-21,akshay tritiya gold sales to beat last year's record,1
2018-05-31,"gold prices edge higher on weaker dollar, trade tensions",0
2015-08-24,gold stands tall as china fears fuel safe-haven draw,0
2013-04-19,gold futures turn lower ahead of comex close,2
2017-08-29,gold's 2016 peak now looks easy to reach after the metal's big breakout,0
2016-07-27,"gold settles higher, but seesaws after fed statement",0
2016-04-13,india's 2015-16 gold imports drop 16%: report,1
2004-08-24,dec gold down 1.4% at $407.10,2
2017-01-20,"feb. gold settles at $1,204.90/oz, up $3.40, or 0.3%",0
2018-08-15,here's why gold might die out as an investment,2
2008-07-04,"gold futures rally, as other commodities also rise",0
2018-03-12,gold futures mark highest settlement in a month,0
2011-04-18,"gold advances, oil posts losses after u.s. outlook",0
2016-07-29,gold futures gain nearly 3% for the month,0
2005-05-13,apollo gold cut to underperform by bmo nesbitt,1
2018-11-27,mining : top gold miners production cost still provides floor in the market price,2
2017-01-17,gold to trade in 28372-28686 range: achiievers equities,1
2013-12-08,gold rebounds to hit four-month high; silver spurts,0
2017-06-07,gold holds slight gain after data,0
2005-10-25,gold etfs higher in early trade,0
2009-11-06,august gold falls 0.4% to $951.30 an ounce,2
2017-12-22,"february gold up 0.3% at 1,274.80 an ounce",0
2017-08-17,"gold edges up on softer dollar, palladium at 16-year peak",0
2011-10-20,mcx gold dec contract trading lower,2
2005-09-19,"dec gold climbs $4.60 to $467.90/oz, a 9-mo high",0
2017-03-14,gold stays close to 6-week low as investors await fed outcome,2
2014-07-08,"gold rises on ukraine unease, though u.s. data cap gains",0
2015-10-16,gold futures down 0.43% on weak global cues,2
2015-12-12,"gold surges by rs 290 on global cues; reclaims rs 26,000-level",0
2015-10-12,gold ends lower as bearish sentiment takes hold,2
2013-04-01,"gold falls 1.5% on day, down 0.4% on week",2
2013-12-20,"gold futures climb, but end the week down 2.5%",0
2016-12-01,"gold edges up after 2-day decline, china concerns support",0
2015-10-26,"gold struggles on firmer dollar, fed rate hike fears",2
2008-04-30,june gold up $10.40 at $875.50 an ounce on nymex,0
2016-10-21,"dec. gold gains 20 cents to settle at $1,267.70/oz for the session",0
2011-10-21,seasonal demand pushes up gold by rs 375; silver by rs 400,0
2018-11-27,gold edges lower as dollar holds steady,2
2017-08-16,gold prices turn higher ahead of comex settlement,0
2014-07-17,"gold, silver edge higher ahead of u.s. jobless claims, housing data",0
2011-11-30,"gold futures add $19.80 to $1,733.20",0
2017-10-16,the curious case of this year's high gold imports,1
2013-08-02,gold logs modest losses for the day and week,2
2018-06-04,gold rises on safe-haven buying,0
2011-07-13,gold options 'fear' traders turn to gold miners,2
2017-10-17,"dec. gold declines by $16.80, or 1.3%, to settle at $1,286.20/oz",2
2014-11-17,"gold slips $2.10 to settle at $1,183.50/oz",2
2017-05-15,"june gold trades $6.80, or 0.6%, higher at $1,234.50/oz.",0
2011-10-27,"gold futures down at rs 27,477 on profit-taking",2
2017-06-15,get gold at a discount now,1
2004-12-16,"gold futures dull, hold above $440",1
2017-08-23,"dec. gold gains $3.70, or 0.3%, to settle at $1,294.70/oz",0
2014-09-29,gold prices push higher amid hong kong unrest,0
2010-09-15,"gold closes 0.2% down at $1,268.70/oz",2
2017-10-02,"gold pares losses by the finish, gains 1.2% for the week",0
2017-11-29,"gold rate today: gold, silver trade higher in morning deals",0
2012-07-06,"anz cuts '12 gold outlook, cites dollar headwinds",2
2001-10-01,"gold closes lower, palladium rises",2
2006-12-10,gold kist rejects pilgrim's pride offer as inadequate,1
2017-11-29,waiting for gold to bottom? watch this group of bulls,2
2013-12-02,"gold, silver skid on profit-taking, global cues",2
2015-02-18,gold futures settle at lowest level since jan. 2,2
2010-10-15,"crude oil higher, gold futures lower after data",2
2017-11-04,gold futures mark highest finish in about 5 months,0
2017-03-28,"gold prices end with a slight loss as u.s. equities, dollar gain ground",2
,iamgold deal for gold field non-sadc assets,1
2018-03-05,india : rising gold prices keep india's jewellery buyers at bay,0
2017-11-05,"gold futures trim gain after jobless claims, ppi data",0
2011-11-28,mcx gold dec contract trading higher,0
2006-03-04,gold prices climb over $8 an ounce in afternoon trading,0
2011-12-19,gold futures extends losses,2
2018-06-03,graham birch : this gold guy managed $40 billion at blackrock - but quit to run a farm instead,1
2018-03-10,"gold prices rise on softer dollar, italy budget woes",0
2011-08-17,"gold futures climb $9, edge back up toward $1,800",0
2011-02-17,gold demand in india rose by 66% to 963 tonnes in 2010: wgc,1
2011-10-28,mcx goldguinea nov contract down marginally,2
2004-01-15,mining indexes slump on gold slide,2
2016-06-09,gold ends near 3-week high as dollar sinks,0
2018-06-26,gold and silver edge lower while stocks tumble,2
2017-01-12,gold prices rip higher following rpts former trump nat. sec. advisor cooperating with special prosecutor,0
2016-12-10,"dec. gold trades at $1,255.40/oz, up from $1,253.80 settlement",0
2011-10-28,gold futures give up europe-deal gains,0
2016-08-22,going for gold: olympic triumphs literally losing value at rio games,1
2018-12-03,why investors are quietly turning bearish on gold prices,1
2016-10-19,gold futures log highest finish since oct. 3,0
2017-02-14,gold holds early gains after ppi report,0
2018-09-04,"rbi followed due process in notifying 80:20 gold scheme, says former deputy guv hr khan",1
2013-05-01,"gold, silver rebound on aggressive buying",0
2015-10-19,"dec. gold loses $10.30, or 0.9%, to settle at $1,172.80/oz on comex",2
2017-05-09,this-and not north korea-is why scared investors are buying gold,0
2015-02-02,gold prices rise for second day on jewellers' buying,0
2005-03-01,feb gold down $7.70 at $430.70/oz in ny,2
2018-10-23,gold nudges up as asian shares edge lower,0
2008-07-17,"gold futures fall, tracking tumble in oil prices",2
2004-06-12,gold prices dull on dollar strength,2
2011-09-16,"gold falls 2% on central banks' action, euro hopes",2
2008-06-11,gold sparkles again,0
2015-08-21,gold scores biggest weekly gain since january,0
2017-10-13,government fixes rate at rs 2987/gm for sovereign gold bond,1
2017-05-10,gold prices to trade volatile: angel commodities,0
2018-05-30,when will gold finally return to a bull market?,1
2016-07-12,gold appetite hit a 5-year high in november as prices tumbled,0
,"june gold down 0.2%, or $1.40, at $688.50/oz in ny",2
2017-08-02,"april gold climbs $3.40, or 0.3%, to settle at $1,239.50/oz",0
2016-12-10,gold steady on easing dollar; fed minutes in focus,1
2018-12-03,"more upside seen in gold prices; buy futures above rs 30,450 for target rs 30,600",0
2015-10-29,gold slumps over 1% in wake of fed meeting,2
2018-02-20,singapore firm to mint islamic cryptocurrency backed by gold,1
2010-10-22,"gold inches down, ends week with 3.4% loss",2
2005-07-28,dec gold climbs $2.80 to $433.30/oz in ny,0
2017-09-26,gold prices settle lower after two-session gain,2
2016-11-30,gold prices sink nearly 8% in november for worst monthly loss in 2016,2
2011-10-17,"gain seen in gold prices in mumbai, delhi market",0
2018-08-10,the spx/gold ratio,1
2017-06-30,"gold prices end the session lower, but tally a gain for the first half of the year",0
2017-01-09,"dec. gold gains $8.20, or 0.6%, to settle at $1,330.40/oz",0
2010-08-27,"oil trades below $73, gold reverses after bernanke",1
2017-10-26,gold prices log lowest settlement since early august,2
2013-03-09,buy gold on dips; may test rs 33250: nirmal bang,1
2017-07-19,gold extends its streak of gains to four sessions by a hair,0
2012-12-21,"gold, silver and oil markets hope for better year",1
2014-08-26,gold gains as dollar rally takes a breather,0
2015-06-17,"gold prices up in asia as fed holds steady, eyes on eurogroup ahead",0
,spot gold quoted at $404.10 in asia,0
2011-09-07,"gold rises to rs 22,570, silver to rs 54,700 on global cues",0
2018-08-20,gold prices to trade lower today: angel commodities,2
2009-12-08,gold slightly lower as investors await fed,2
2017-10-26,gold trades higher as dollar eases,0
2017-08-29,gold climbs to 9.5 month high as north korea tensions escalate,0
2017-09-20,commodities - gold prices bounce back on softer dollar ahead of fed,0
2015-12-10,"gold ends higher, posts best settlement price since july",0
2018-11-26,gold prices to trade higher today: angel commodities,0
2013-02-18,"gold futures up at rs 30,226/10 gm",0
2018-04-23,correct: gold futures settle at lowest level in more than 4 weeks,2
2009-09-20,"gold to hover around rs 16,000 this week",1
,gold futures up over $3 an ounce in afternoon dealings,0
2017-10-03,"gold prices down 9 sessions, lose 2% for the week",2
2010-01-27,"feb. gold rises $3.40 to $1,087.90/oz on globex",0
2014-04-28,"gold settles back under $1,300 an ounce",2
2005-01-25,philly gold and silver index falls 2.7% to end at 91.76,2
2014-10-04,gold extends gains as fed minutes reveal weak pricing concerns,0
2012-06-01,"oil turns lower, gold holds gain after jobs",0
2016-11-23,"dec. gold at $1,190.30/oz in electronic trading, up from $1,189.30 settlement",0
2012-01-06,"aug. gold up $58 at $1,622.20 after $1,623.20 high",0
2016-01-09,"dec. gold gains $3, or 0.2%, to $1,314.40/oz",0
2012-09-04,"gold, silver rise on wedding season demand",0
2004-02-11,"dec gold closes at $420.80/oz, down $7.40",2
2005-12-08,"philadelphia gold/silver index ends at 99.96, up 0.5% on day",0
2016-09-19,"dec. gold settles at $1,317.80/oz, up $7.60, or 0.6%",0
2010-07-20,gold ends floor trade up $9.8 at $1191.7 an ounce,0
2017-08-30,"gold plunges rs 350 on weak global cues, low local demand",2
2012-10-24,"gold futures trade near session's low of $1,701.20",2
2018-06-16,love for yellow metal? we need of spot gold exchanges in the country,1
2018-09-10,charts : gold: bearish bias while price contained below $1215,2
2017-04-05,"gold holds lower after jobless-claims report, other data",2
2009-11-03,gold futures rise above $900 as dollar falls,0
2018-11-16,5 signs before gold takes off,1
2017-10-07,"gold plunges to rs 28,780; silver slumps below rs 37,000-mark",2
2009-04-03,gold stays lower after fed's beige book,2
2016-12-28,gold futures score two-week highs even as dollar extends climb,0
2004-11-22,gold prices edge closer to $450,0
2018-05-25,"commodity outlook: oil prices likely to trend lower; key support for gold around rs 31,300, silver at rs 40,600",2
2012-09-25,mcx goldpetal oct contract up marginally,0
2018-08-05,gold prices move slightly higher as u.s. stocks trade broadly lower,0
2009-06-10,gold etf rises to all-time high,0
2013-03-01,"fed minutes weigh on stocks, gold while boosting treasurys, dollar",2
2018-11-27,gold prices may fall as fed commentary boosts the us dollar,2
2018-10-23,gold goes up rs 86 on positive global cues,0
2017-01-06,gold pulls back as private-sector hiring data up prospects for higher interest rates,0
2014-06-20,"gold holds onto gains from iraq concerns, fed language",0
2005-09-21,"dec gold closes at $473.20, highest since late 1987",0
2018-10-11,"gold prices soften on lacklustre demand, global cues",2
2018-04-13,"us mint : sales of us mint american eagle gold, silver coins fall in march",1
2015-07-08,gold rebounds from jobs-inspired slide,0
2008-10-23,gold's recent slump bewilders investors,2
2016-03-11,"dec. gold loses $4.90, or 0.4%, to settle at $1,303.30/oz",2
2017-11-14,"gold prices look to fate of us tax cuts for direction, yellen to speak",1
2010-10-22,canadian stocks eke out gains as gold miners rebound,1
2017-09-22,gold rate per gram: check out current gold price per gram,1
2018-12-07,gold prices under pressure; here's what investors should do,2
2018-11-07,gold prices fall on firmer dollar,2
2011-12-29,india gold demand improves slightly after prices drop,2
2017-12-27,gold settles higher amid broad commodity rally,0
2016-05-07,"silver, gold rally to highest level since 2014",0
2018-06-14,"gold pushes above $1,300 as dollar eases ahead of ecb policy update",0
2016-11-16,"gold wipes off losses, trading marginally higher in early trade",2
2013-08-29,is gold about to make a run to new highs?,1
2014-09-04,"june gold down $3.20, or 0.2%, to end at $1,305.90/oz",2
2010-08-03,"april gold falls 20 cents to $1,123.80/oz on globe",2
2018-07-03,"gold settles lower, extends loss after fed beige book",2
2011-08-21,"gold import may cross 1,000-tonne mark this year: analysts",1
2015-08-20,gold futures log highest settlement since mid-july on comex,0
2004-12-15,gold climbs to one-week high,0
2017-02-06,"august gold edges slightly higher at $1,271.50/oz, up 0.1%",0
2018-02-16,commodities@moneycontrol: gold prices near highest since august 2016,0
2007-08-17,"gold shines, silver fades",0
2008-09-23,"gold futures end lower, as u.s. dollar rises vs. rivals",2
2017-06-12,gold rate today: gold trades lower in morning deals; silver up,2
2011-10-22,"gold, silver spurt on festive offtake, global cues",0
2016-11-16,gold prices gain in asia as support continues despite fed hike views,0
2010-10-15,"gold, oil hold on to losses after consumer data",2
2016-07-10,"december gold rises 1% at $1,265.10",0
2016-08-26,"dec. gold gains $1.30, or 0.1%, for the session to finish at $1,325.90/oz",0
2011-10-27,gold climbs as europe woes spur demand,0
2013-08-13,"changes in duties on gold, silver to be announced today",1
2009-09-13,gold gains on investment buying,0
2013-02-08,gold: where to draw the line in the sand after jobs data,1
2007-03-07,"august gold closes at $655.40/oz, down $3.80 in ny",2
2016-01-09,"december gold down $4.90, or 0.4%, at $1,306.50/oz.",2
2016-03-11,"gold futures suffer first loss in 3 sessions, but keep grip on $1,300",2
2017-02-23,gold ends at 3-month high as dollar wobbles,0
2016-03-03,third tranche of gold bond scheme coming soon: shaktikanta das,1
